,Date,European Union,California,Québec,Ontario,New Zealand,Kazakhstan,South Korea,Switzerland,RGGI,Nova Scotia,United Kingdom,China,Shenzhen,Shanghai,Beijing,Guangdong,Tianjin,Hubei,Chongqing,Fujian
92,2005-01-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
93,2005-02-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
94,2005-03-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
95,2005-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
96,2005-05-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
97,2005-06-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
98,2005-07-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
99,2005-08-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
100,2005-09-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
101,2005-10-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
102,2005-11-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
103,2005-12-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
104,2005-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
105,2005-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
106,2005-04-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
107,2005-04-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
108,2005-04-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
109,2005-04-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
110,2005-04-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
111,2005-04-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
112,2005-04-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
113,2005-04-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
114,2005-04-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
115,2005-04-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
116,2005-04-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
117,2005-04-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
118,2005-04-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
119,2005-04-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
120,2005-04-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
121,2005-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
122,2005-01-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
123,2005-02-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
124,2005-03-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
125,2005-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
126,2005-05-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
127,2005-06-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
128,2005-07-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
129,2005-08-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
130,2005-09-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
131,2005-10-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
132,2005-11-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
133,2005-12-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
134,2005-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
135,2005-05-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
136,2005-05-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
137,2005-05-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
138,2005-05-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
139,2005-05-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
140,2005-05-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
141,2005-05-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
142,2005-05-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
143,2005-05-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
144,2005-05-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
145,2005-05-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
146,2005-05-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
147,2005-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
148,2005-05-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
149,2005-05-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
150,2005-05-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
151,2005-05-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
152,2005-05-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
153,2005-01-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
154,2005-02-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
155,2005-03-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
156,2005-04-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
157,2005-05-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
158,2005-06-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
159,2005-07-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
160,2005-08-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
161,2005-09-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
162,2005-10-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
163,2005-11-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
164,2005-12-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
165,2005-06-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
166,2005-06-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
167,2005-06-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
168,2005-06-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
169,2005-06-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
170,2005-06-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
171,2005-06-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
172,2005-06-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
173,2005-06-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
174,2005-06-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
175,2005-06-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
176,2005-06-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
177,2005-06-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
178,2005-06-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
179,2005-06-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
180,2005-06-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
181,2005-06-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
182,2005-06-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
183,2005-01-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
184,2005-02-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
185,2005-03-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
186,2005-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
187,2005-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
188,2005-06-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
189,2005-07-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
190,2005-08-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
191,2005-09-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
192,2005-10-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
193,2005-11-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
194,2005-12-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
195,2005-07-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
196,2005-07-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
197,2005-07-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
198,2005-07-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
199,2005-07-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
200,2005-07-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
201,2005-07-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
202,2005-07-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
203,2005-07-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
204,2005-07-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
205,2005-07-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
206,2005-07-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
207,2005-07-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
208,2005-07-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
209,2005-07-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
210,2005-07-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
211,2005-07-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
212,2005-07-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
213,2005-07-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
214,2005-01-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
215,2005-02-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
216,2005-03-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
217,2005-04-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
218,2005-05-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
219,2005-06-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
220,2005-07-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
221,2005-08-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
222,2005-09-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
223,2005-10-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
224,2005-11-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
225,2005-12-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
226,2005-08-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
227,2005-08-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
228,2005-08-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
229,2005-08-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
230,2005-08-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
231,2005-08-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
232,2005-08-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
233,2005-08-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
234,2005-08-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
235,2005-08-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
236,2005-08-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
237,2005-08-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
238,2005-08-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
239,2005-08-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
240,2005-08-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
241,2005-08-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
242,2005-08-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
243,2005-08-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
244,2005-08-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
245,2005-01-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
246,2005-02-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
247,2005-03-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
248,2005-04-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
249,2005-05-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
250,2005-06-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
251,2005-07-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
252,2005-08-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
253,2005-09-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
254,2005-10-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
255,2005-11-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
256,2005-12-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
257,2005-09-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
258,2005-09-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
259,2005-09-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
260,2005-09-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
261,2005-09-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
262,2005-09-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
263,2005-09-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
264,2005-09-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
265,2005-09-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
266,2005-09-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
267,2005-09-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
268,2005-09-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
269,2005-09-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
270,2005-09-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
271,2005-09-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
272,2005-09-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
273,2005-09-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
274,2005-09-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
275,2005-01-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
276,2005-02-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
277,2005-03-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
278,2005-04-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
279,2005-05-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
280,2005-06-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
281,2005-07-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
282,2005-08-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
283,2005-09-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
284,2005-10-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
285,2005-11-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
286,2005-12-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
287,2005-10-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
288,2005-10-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
289,2005-10-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
290,2005-10-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
291,2005-10-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
292,2005-10-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
293,2005-10-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
294,2005-10-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
295,2005-10-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
296,2005-10-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
297,2005-10-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
298,2005-10-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
299,2005-10-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
300,2005-10-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
301,2005-10-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
302,2005-10-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
303,2005-10-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
304,2005-10-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
305,2005-10-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
306,2005-01-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
307,2005-02-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
308,2005-03-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
309,2005-04-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
310,2005-05-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
311,2005-06-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
312,2005-07-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
313,2005-08-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
314,2005-09-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
315,2005-10-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
316,2005-11-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
317,2005-12-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
318,2005-11-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
319,2005-11-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
320,2005-11-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
321,2005-11-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
322,2005-11-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
323,2005-11-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
324,2005-11-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
325,2005-11-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
326,2005-11-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
327,2005-11-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
328,2005-11-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
329,2005-11-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
330,2005-11-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
331,2005-11-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
332,2005-11-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
333,2005-11-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
334,2005-11-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
335,2005-11-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
336,2005-01-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
337,2005-02-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
338,2005-03-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
339,2005-04-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
340,2005-05-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
341,2005-06-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
342,2005-07-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
343,2005-08-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
344,2005-09-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
345,2005-10-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
346,2005-11-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
347,2005-12-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
348,2005-12-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
349,2005-12-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
350,2005-12-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
351,2005-12-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
352,2005-12-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
353,2005-12-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
354,2005-12-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
